,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,permanently closed,outdoor_seating
0,the-well-brooklyn,"[{'alias': 'beergardens', 'title': 'Beer Gardens'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 40.7084722, 'longitude': -73.9378744}",(347) 338-3612,3725.6727408498527,T45to25cNUZFBHCb-rlTKA,https://s3-media4.fl.yelpcdn.com/bphoto/2xiicdT5OIddp5Xz6M-eIQ/o.jpg,True,"{'address1': '272 Meserole St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['272 Meserole St', 'Brooklyn, NY 11206']}",The Well,+13473383612,$$,3.5,151,[],https://www.yelp.com/biz/the-well-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0
0,trophy-bar-brooklyn,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'lounges', 'title': 'Lounges'}]","{'latitude': 40.707908, 'longitude': -73.95565}",(347) 227-8515,2350.9710660169194,_OdmajwtXXQwz-RhFUUxFw,https://s3-media2.fl.yelpcdn.com/bphoto/x-c5ZXjf4q-lyvyG5ugZXQ/o.jpg,True,"{'address1': '351 Broadway', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['351 Broadway', 'Brooklyn, NY 11211']}",Trophy Bar,+13472278515,$,4.0,202,"['pickup', 'delivery']",https://www.yelp.com/biz/trophy-bar-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0
0,samesa-brooklyn,"[{'alias': 'eventplanning', 'title': 'Party & Event Planning'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 40.7116966247559, 'longitude': -73.9492492675781}",(718) 599-1154,3038.765836627945,VKAK_q8S0qVar0Aq9JoV_g,https://s3-media2.fl.yelpcdn.com/bphoto/XJ5jFqen9x-IKJOSNvDz_g/o.jpg,True,"{'address1': '495 Lorimer St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['495 Lorimer St', 'Brooklyn, NY 11211']}",Samesa,+17185991154,$$,4.0,86,"['delivery', 'pickup']",https://www.yelp.com/biz/samesa-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0
0,pearls-brooklyn,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.7180814, 'longitude': -73.956634}",,3055.6620619336236,lfu3eDxix7MHqxjh8gbJLA,https://s3-media1.fl.yelpcdn.com/bphoto/aUDapggaDWtzlmW2Aw9xFQ/o.jpg,True,"{'address1': '178 N 8th St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['178 N 8th St', 'Brooklyn, NY 11211']}",Pearl's,,$$,4.0,530,"['pickup', 'delivery']",https://www.yelp.com/biz/pearls-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0
0,maison-premiere-brooklyn,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 40.7142399, 'longitude': -73.9616}",(347) 335-0446,2461.1620746157005,O4rYM6YBj90W2u7RhG3Mvg,https://s3-media3.fl.yelpcdn.com/bphoto/sYBR9fpPCOcYF6mE6eQ2MA/o.jpg,False,"{'address1': '298 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['298 Bedford Ave', 'Brooklyn, NY 11249']}",Maison Premiere,+13473350446,$$$,4.0,1139,"['delivery', 'pickup']",https://www.yelp.com/biz/maison-premiere-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0
0,kinfolk-94-brooklyn,"[{'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.721588, 'longitude': -73.958377}",(347) 799-2946,3289.0023380850803,500Zd8FSjLrfmnFc2PttNw,https://s3-media2.fl.yelpcdn.com/bphoto/8MrC0vio1-mM9_iwBe5k8g/o.jpg,True,"{'address1': '94 Wythe Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['94 Wythe Ave', 'Brooklyn, NY 11249']}",Kinfolk 94,+13477992946,$$,3.0,106,[],https://www.yelp.com/biz/kinfolk-94-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0
0,jimmys-diner-brooklyn,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 40.7177, 'longitude': -73.952445}",(718) 218-7174,3257.126142258778,oGsyKk43d7Jc4wN7r3Wvxg,https://s3-media1.fl.yelpcdn.com/bphoto/RJStNN1ePG6SSo_by0wSUA/o.jpg,True,"{'address1': '577 Union Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['577 Union Ave', 'Brooklyn, NY 11211']}",Jimmy's Diner,+17182187174,$$,4.0,750,"['pickup', 'delivery']",https://www.yelp.com/biz/jimmys-diner-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0
0,gotan-tribeca-new-york-2,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 40.719255, 'longitude': -74.006607}",(212) 431-5200,3421.470301988073,nKpHJSu7xbGyerOjfLRzfA,https://s3-media3.fl.yelpcdn.com/bphoto/1BcKjEDffC-wjX51u-sT3w/o.jpg,False,"{'address1': '130 Franklin St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['130 Franklin St', 'New York, NY 10013']}",Gotan - Tribeca,+12124315200,$$,4.0,385,"['pickup', 'delivery']",https://www.yelp.com/biz/gotan-tribeca-new-york-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0
0,evil-olive-pizza-bar-brooklyn,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.706295, 'longitude': -73.9501648}",(718) 387-0707,2677.731427406069,wqXnUldj2H2XMa_frZxcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/tPLIeMDB9IGLUl4OT5A6bg/o.jpg,True,"{'address1': '198 Union Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['198 Union Ave', 'Brooklyn, NY 11211']}",Evil Olive Pizza Bar,+17183870707,$,4.0,148,"['pickup', 'delivery']",https://www.yelp.com/biz/evil-olive-pizza-bar-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0
0,egg-brooklyn-2,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 40.716753, 'longitude': -73.961681}",(718) 302-5151,2686.2072126609887,N89S_tZX8qYDho5JYR6hbQ,https://s3-media3.fl.yelpcdn.com/bphoto/u2h2dp_4DgvRfgRktOiNYQ/o.jpg,True,"{'address1': '109 N 3rd St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['109 N 3rd St', 'Brooklyn, NY 11211']}",Egg,+17183025151,$$,3.5,414,[],https://www.yelp.com/biz/egg-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0
