CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
50060363,PIZZA CIAO PASTA,Brooklyn,7116,BAY PARKWAY,11204
41450361,FREDA'S,Manhattan,993,COLUMBUS AVENUE,10025
40871234,S & T BAGELS & DELI,Staten Island,463,FOREST AVENUE,10301
41653409,CROWN FRIED CHICKEN,Brooklyn,431,RALPH AVENUE,11233
50081076,DIA,Manhattan,58,2 AVENUE,10003
41362353,REVIVE (FOOD COURT BAR),Queens,0,JOHN F. KENNEDY INTL AIRPORT,11430
50102349,CHA CHA MATCHA,Manhattan,501,5 AVENUE,10017
50078158,ZURUTTO RAMEN & GYOZA BAR,Manhattan,142,WEST   72 STREET,10023
50070891,MINIGROW,Manhattan,285,MADISON AVENUE,10017
40572960,RIO DE LA PLATA BAKERY,Queens,9465,CORONA AVE,11373
50102608,DUNKIN DONUTS,Queens,13335,79TH ST,11414
41451698,LUCY'S CANTINA ROYALE,Manhattan,1,PENN PLAZA,10119
50016782,DUNKIN',Brooklyn,359,NEPTUNE AVENUE,11235
50101941,New Dexing,Queens,22608,MERRICK BLVD,11413
50079320,TANGRA MASALA,Manhattan,103,LEXINGTON AVENUE,10016
41611725,BEACON THEATRE SATELLITE BAR,Manhattan,2124,BROADWAY,10023
50087766,LIDIA'S PLAY CAFE,Queens,7106,FRESH POND RD,11385
41557377,JONES WOOD FOUNDRY,Manhattan,401,EAST   76 STREET,10021
41556098,UDOM THAI,Brooklyn,661,WASHINGTON AVENUE,11238
50015343,BOWERY MEAT COMPANY,Manhattan,9,EAST    1 STREET,10003
40666003,YESHIVA UNIVERSITY CAFE,Manhattan,245,LEXINGTON AVENUE,10016
41600011,CAFE ON 5TH/STERLING AFFAIR,Manhattan,1216,FIFTH AVENUE,10029
50072278,ROSE'S,Brooklyn,295,FLATBUSH AVENUE,11217
50075448,LITTLE COLLINS,Manhattan,570,LEXINGTON AVENUE,10022
50080711,GEMELLI,Brooklyn,321,STARR STREET,11237
50088311,CAPPONE'S SALUMERIA,Manhattan,570,LEXINGTON AVENUE,10022
50015515,ARABICA HOOKAH LOUNGE & RESTAURANT INC,Staten Island,4162,VICTORY BOULEVARD,10314
50100909,FARMERS FRIDGE - 340 MADISON AVE,Manhattan,340,MADISON AVENUE,10173
40585966,GUY & GALLARD,Manhattan,120,EAST   34 STREET,10016
41698771,YUMMY YUMMY BROOKLYN,Brooklyn,1349,ROCKAWAY PARKWAY,11236
50017272,THE LITTLE SWEET CAFE,Brooklyn,77B,HOYT STREET,11201
41243544,CAFE COLETTE,Brooklyn,79,BERRY STREET,11249
50106464,(FSE LOCATED IN JFK TERMINAL 8),Queens,14438,87TH AVE,11435
50093801,STARBUCKS TAXI,Manhattan,655,WEST   34 STREET,10001
41660841,718 HOOKAH LOUNGE,Queens,7213,AUSTIN ST,11375
41509909,BILL'S BAR & BURGER ROCKEFELLER CENTER,Manhattan,45,ROCKEFELLER CENTER,10111
50098909,99 CENTS UTICA HOT PIZZA,Brooklyn,1127,EASTERN PARKWAY,11213
50072861,ITSU,Manhattan,530,7 AVENUE,10018
50011485,SUBWAY,Manhattan,3795,BROADWAY,10032
50013922,SKYTOWN,Brooklyn,921,BROADWAY,11206
41524567,SWEETNESS USA,Brooklyn,1150,CONEY ISLAND AVENUE,11230
