,alias,categories,coordinates,is_closed,location,name,rating,review_count,transactions,url,permanently closed,outdoor_seating,price_cat,delivery,restaurant_reservation,pickup,zip_code,latitude,longitude,total_restaurants_in_zip,Population Density,distance_to_subway
0,bali-kitchen-new-york-2,Specialty Food,"{'latitude': 40.725454, 'longitude': -73.987585}",True,"{'address1': '128 E 4th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['128 E 4th St', 'New York, NY 10003']}",Bali Kitchen,4.5,143,"['delivery', 'pickup']",https://www.yelp.com/biz/bali-kitchen-new-york-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,1,0,1,10003,40.725454,-73.987585,714.0,98998.8,0.2148636387531562
1,cafe-triskell-astoria,Breakfast & Brunch,"{'latitude': 40.7557027855819, 'longitude': -73.9280135680406}",False,"{'address1': '33-04 36th Ave', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['33-04 36th Ave', 'Astoria, NY 11106']}",Cafe Triskell,4.5,442,"['pickup', 'delivery']",https://www.yelp.com/biz/cafe-triskell-astoria?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,two,1,0,1,11106,40.7557027855819,-73.9280135680406,179.0,44344.0,0.1604762747392295
2,lucky-strike-new-york-8,"Mobile, Events and Venues","{'latitude': 40.761469, 'longitude': -74.000883}",False,"{'address1': '624-660 W 42nd St', 'address2': '', 'address3': 'River Place', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['624-660 W 42nd St', 'River Place', 'New York, NY 10036']}",Lucky Strike,3.5,561,[],https://www.yelp.com/biz/lucky-strike-new-york-8?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,0,0,0,10036,40.761469,-74.000883,672.0,54427.5,0.23541188740021604
3,taqueria-tlaxcalli-bronx-3,Mexican,"{'latitude': 40.83624, 'longitude': -73.854962}",False,"{'address1': '2103 Starling Ave', 'address2': '', 'address3': None, 'city': 'Bronx', 'zip_code': '10462', 'country': 'US', 'state': 'NY', 'display_address': ['2103 Starling Ave', 'Bronx, NY 10462']}",Taqueria Tlaxcalli,4.5,628,"['delivery', 'pickup']",https://www.yelp.com/biz/taqueria-tlaxcalli-bronx-3?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10462,40.83624,-73.854962,155.0,51271.5,0.4203753707111408
4,bao-bao-cafe-new-york-3,Chinese,"{'latitude': 40.70854, 'longitude': -74.01367}",False,"{'address1': '106 Greenwich St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10006', 'country': 'US', 'state': 'NY', 'display_address': ['106 Greenwich St', 'New York, NY 10006']}",Bao Bao Cafe,4.0,196,"['delivery', 'pickup']",https://www.yelp.com/biz/bao-bao-cafe-new-york-3?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,one,1,0,1,10006,40.70854,-74.01367,52.0,32132.0,0.03386789932637449
5,em-vietnamese-kitchen-brooklyn,American (Casual),"{'latitude': 40.60839, 'longitude': -74.00482}",False,"{'address1': '1702 86th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11214', 'country': 'US', 'state': 'NY', 'display_address': ['1702 86th St', 'Brooklyn, NY 11214']}",Em Vietnamese Kitchen,4.0,254,"['delivery', 'pickup']",https://www.yelp.com/biz/em-vietnamese-kitchen-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,11214,40.60839,-74.00482,214.0,40359.9,0.3594314527496159
6,pado-new-york,Japanese,"{'latitude': 40.7314, 'longitude': -73.98589}",True,"{'address1': '199 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['199 2nd Ave', 'New York, NY 10003']}",Pado,4.5,322,"['delivery', 'pickup']",https://www.yelp.com/biz/pado-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,1,0,1,10003,40.7314,-73.98589,714.0,98998.8,0.04255242282997098
7,aoi-kitchen-new-york,Japanese,"{'latitude': 40.72683167, 'longitude': -73.98754333}",False,"{'address1': '320 E 6th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['320 E 6th St', 'New York, NY 10003']}",Aoi Kitchen,4.5,87,"['pickup', 'restaurant_reservation']",https://www.yelp.com/biz/aoi-kitchen-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,0,1,1,10003,40.72683167,-73.98754333,714.0,98998.8,0.25698092538930534
8,monikas-cafe-bar-astoria-2,European,"{'latitude': 40.7580193, 'longitude': -73.9233269}",True,"{'address1': '32-90 36th St', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['32-90 36th St', 'Astoria, NY 11106']}",Monika's Cafe Bar,3.5,390,"['delivery', 'pickup']",https://www.yelp.com/biz/monikas-cafe-bar-astoria-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,1,0,1,11106,40.7580193,-73.9233269,179.0,44344.0,0.29677856029113675
9,the-burgary-new-york,American (Casual),"{'latitude': 40.7193370804105, 'longitude': -73.9850228946549}",False,"{'address1': '67 Clinton St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['67 Clinton St', 'New York, NY 10002']}",The Burgary,4.5,261,"['delivery', 'pickup']",https://www.yelp.com/biz/the-burgary-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10002,40.7193370804105,-73.9850228946549,560.0,90849.3,0.2672459025548749
