,alias,categories,coordinates,display_phone,is_closed,location,name,price,rating,review_count,transactions,url,permanently closed,outdoor_seating,price_cat,delivery,restaurant_reservation,pickup,zip_code,latitude,longitude,total_restaurants_in_zip,Population Density 
0,abracadabra-brooklyn-williamsburg,American (New),"{'latitude': 40.71202, 'longitude': -73.96274}",(347) 844-9157,True,"{'address1': '347 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Williamsburg', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['347 Bedford Ave', 'Williamsburg, NY 11211']}",Abracadabra Brooklyn,$$,4.0,151,"['delivery', 'pickup']",https://www.yelp.com/biz/abracadabra-brooklyn-williamsburg?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,1,0,1,11211,40.71202,-73.96274,401.0,39908.0
1,fedoroffs-steaks-new-york,American (Casual),"{'latitude': 40.7100338833448, 'longitude': -74.0108130057733}",,False,"{'address1': '4 Cortlandt St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['4 Cortlandt St', 'New York, NY 10007']}",Fedoroff's Steaks,,4.0,32,"['delivery', 'pickup']",https://www.yelp.com/biz/fedoroffs-steaks-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,missing,1,0,1,10007,40.7100338833448,-74.0108130057733,149.0,41282.4
2,jojo-new-york-3,Bars,"{'latitude': 40.76506, 'longitude': -73.96571}",(212) 223-5656,False,"{'address1': '160 E 64th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10065', 'country': 'US', 'state': 'NY', 'display_address': ['160 E 64th St', 'New York, NY 10065']}",JoJo,$$$,4.0,158,"['delivery', 'pickup']",https://www.yelp.com/biz/jojo-new-york-3?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,three,1,0,1,10065,40.76506,-73.96571,182.0,82215.9
3,chopped-parsley-new-york,Japanese,"{'latitude': 40.82593, 'longitude': -73.94742}",(917) 675-6666,False,"{'address1': '500 W 146th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['500 W 146th St', 'New York, NY 10031']}",Chopped Parsley,$$,4.5,127,[],https://www.yelp.com/biz/chopped-parsley-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,two,0,0,0,10031,40.82593,-73.94742,127.0,90523.6
4,the-food-sermon-kitchen-brooklyn-2,Caribbean,"{'latitude': 40.6985551, 'longitude': -73.9712029}",,False,"{'address1': '141 Flushing Ave', 'address2': 'Bldg 77 Unit 108', 'address3': 'The Brooklyn Navy Yard', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['141 Flushing Ave', 'Bldg 77 Unit 108', 'The Brooklyn Navy Yard', 'Brooklyn, NY 11205']}",The Food Sermon Kitchen,$$,4.5,266,"['pickup', 'delivery']",https://www.yelp.com/biz/the-food-sermon-kitchen-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,11205,40.6985551,-73.9712029,172.0,45618.8
5,kates-corner-cafe-astoria,Cafes,"{'latitude': 40.77569, 'longitude': -73.90012}",(718) 956-2929,False,"{'address1': '4125 20th Ave', 'address2': None, 'address3': None, 'city': 'Astoria', 'zip_code': '11105', 'country': 'US', 'state': 'NY', 'display_address': ['4125 20th Ave', 'Astoria, NY 11105']}",Kate's Corner Cafe,$,4.5,19,"['delivery', 'pickup']",https://www.yelp.com/biz/kates-corner-cafe-astoria?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,one,1,0,1,11105,40.77569,-73.90012,157.0,22559.5
6,butter-and-scotch-brooklyn-2,Bakeries and Desserts,"{'latitude': 40.670075, 'longitude': -73.958414}",(347) 350-8899,True,"{'address1': '818 Franklin Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11225', 'country': 'US', 'state': 'NY', 'display_address': ['818 Franklin Ave', 'Brooklyn, NY 11225']}",Butter & Scotch,$$,4.0,529,"['pickup', 'delivery']",https://www.yelp.com/biz/butter-and-scotch-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,1,0,1,11225,40.670075,-73.958414,146.0,67444.4
7,tacuba-hells-kitchen-new-york,Latin American,"{'latitude': 40.76545, 'longitude': -73.98729}",(212) 245-4500,False,"{'address1': '802 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['802 9th Ave', 'New York, NY 10019']}",Tacuba Hell's Kitchen,$$,4.0,683,"['delivery', 'pickup']",https://www.yelp.com/biz/tacuba-hells-kitchen-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10019,40.76545,-73.98729,720.0,56986.1
8,excuse-my-french-new-york,European,"{'latitude': 40.71844, 'longitude': -73.98981}",(212) 780-9600,False,"{'address1': '96 Orchard St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['96 Orchard St', 'New York, NY 10002']}",Excuse My French,$$,4.5,290,"['delivery', 'pickup']",https://www.yelp.com/biz/excuse-my-french-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10002,40.71844,-73.98981,560.0,90849.3
9,ikebana-zen-new-york,Japanese,"{'latitude': 40.765644, 'longitude': -73.9879068}",(917) 388-2268,False,"{'address1': '401 W 53rd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['401 W 53rd St', 'New York, NY 10019']}",Ikebana-Zen,,4.5,36,['restaurant_reservation'],https://www.yelp.com/biz/ikebana-zen-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,missing,0,1,0,10019,40.765644,-73.9879068,720.0,56986.1
