,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,permanently closed,outdoor_seating
0,birria-landia-williamsburg-brooklyn,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'latitude': 40.7141949, 'longitude': -73.9520149}",,1517.7908733490578,LWHHNai3yu6ovrf4Bcepjg,https://s3-media4.fl.yelpcdn.com/bphoto/9d2UadA6ssF_5Q1sj9kDqQ/o.jpg,False,"{'address1': '495 Metropolian Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['495 Metropolian Ave', 'Brooklyn, NY 11211']}",Birria Landia Williamsburg,,,5.0,5,[],https://www.yelp.com/biz/birria-landia-williamsburg-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0
1,robertas-brooklyn-5,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 40.7139862706458, 'longitude': -73.9599272652231}",,2567.881287080414,G77Q6kU-7qRefColCRTS0w,https://s3-media3.fl.yelpcdn.com/bphoto/WQAXL9lxUMe4KFbQ7X9CNg/o.jpg,False,"{'address1': '5 Grand St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['5 Grand St', 'Brooklyn, NY 11211']}",Roberta's,,,5.0,1,[],https://www.yelp.com/biz/robertas-brooklyn-5?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0
2,eris-brooklyn,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 40.70774, 'longitude': -73.94343}",(347) 394-3747,587.5113343150468,dFcJnX_4T4CrBn2T6i5lKQ,https://s3-media1.fl.yelpcdn.com/bphoto/7to1NdorZKQYfGRP3Q6eFw/o.jpg,False,"{'address1': '167 Graham Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['167 Graham Ave', 'Brooklyn, NY 11206']}",Eris,+13473943747,,4.5,7,[],https://www.yelp.com/biz/eris-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0
3,for-all-things-good-brooklyn,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 40.687630013555, 'longitude': -73.9568200707436}",,2049.889525870764,JAL8di-znskAHDTrLIdhfg,https://s3-media4.fl.yelpcdn.com/bphoto/3CcaWwpQhbeSfMnTijGjnA/o.jpg,False,"{'address1': '343 Franklin Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['343 Franklin Ave', 'Brooklyn, NY 11238']}",For All Things Good,,,4.5,4,[],https://www.yelp.com/biz/for-all-things-good-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1
4,the-brooklyn-tree-brooklyn-2,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 40.70734, 'longitude': -73.94186}",(917) 909-0307,537.1583790800973,8JDwcklaawqYprHg0c9aIA,https://s3-media1.fl.yelpcdn.com/bphoto/SEkkfiJ8v_8-rDtvSmFTNw/o.jpg,False,"{'address1': '188 Montrose Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['188 Montrose Ave', 'Brooklyn, NY 11206']}",The Brooklyn Tree,+19179090307,$$,4.5,161,"['delivery', 'pickup']",https://www.yelp.com/biz/the-brooklyn-tree-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1
5,tavola-35-bodega-brooklyn-2,"[{'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cheese', 'title': 'Cheese Shops'}]","{'latitude': 40.7026, 'longitude': -73.94258}",(347) 916-0201,25.79263466380759,vPN1aX45iAZFZ_of51pihQ,https://s3-media3.fl.yelpcdn.com/bphoto/s3-nuHSl364xe-Yf4GiOFQ/o.jpg,False,"{'address1': '35 Graham Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['35 Graham Ave', 'Brooklyn, NY 11206']}",Tavola 35 Bodega,+13479160201,,5.0,19,"['delivery', 'pickup']",https://www.yelp.com/biz/tavola-35-bodega-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0
6,gentle-perch-brooklyn,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 40.705106, 'longitude': -73.942587}",(929) 298-0041,288.58660323367917,e_hmhxJbpSPAGEfim86PVQ,https://s3-media1.fl.yelpcdn.com/bphoto/ARzkX96K2MKbd7WaTW0UfA/o.jpg,False,"{'address1': '112 Graham Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['112 Graham Ave', 'Brooklyn, NY 11206']}",Gentle Perch,+19292980041,$$,4.5,81,"['delivery', 'pickup']",https://www.yelp.com/biz/gentle-perch-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1
7,win-son-brooklyn-4,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 40.70747, 'longitude': -73.94339}",(347) 457-6010,558.0375374761276,3gqKLANaXNsHZnPDjKrcTg,https://s3-media4.fl.yelpcdn.com/bphoto/EXCnl7qaa1wEQMWMI6ZqRQ/o.jpg,False,"{'address1': '159 Graham Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['159 Graham Ave', 'Brooklyn, NY 11206']}",Win Son,+13474576010,$$,4.0,496,[],https://www.yelp.com/biz/win-son-brooklyn-4?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0
8,bulbap-grill-brooklyn-2,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 40.706499, 'longitude': -73.922293}",,1749.6853106406845,GDHm-QyjlGEC_gg6pV7mZg,https://s3-media1.fl.yelpcdn.com/bphoto/0OZMHMGsnlQbHs7GkWIdQQ/o.jpg,False,"{'address1': '31 Wyckoff Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['31 Wyckoff Ave', 'Brooklyn, NY 11237']}",Bulbap Grill,,,5.0,6,"['delivery', 'pickup']",https://www.yelp.com/biz/bulbap-grill-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1
9,otis-brooklyn-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.706011, 'longitude': -73.932598}",(646) 886-0601,917.6890839767415,RfxOtJ4SQmEeVX_XjFLWUQ,https://s3-media3.fl.yelpcdn.com/bphoto/aViDtyaJ5YRmsqC4ot5L2w/o.jpg,False,"{'address1': '18 Harrison Pl', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['18 Harrison Pl', 'Brooklyn, NY 11206']}",Otis,+16468860601,$$,5.0,322,"['delivery', 'pickup']",https://www.yelp.com/biz/otis-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1
10,magdalene-brooklyn,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'lebanese', 'title': 'Lebanese'}]","{'latitude': 40.71252, 'longitude': -73.94899}",(347) 508-8280,1242.7215178414167,Ucg3flg-2tJAahEePIoigQ,https://s3-media2.fl.yelpcdn.com/bphoto/9ez5kNfQkp-upaJKD4QVZw/o.jpg,False,"{'address1': '524 Lorimer St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['524 Lorimer St', 'Brooklyn, NY 11211']}",Magdalene,+13475088280,,5.0,17,"['delivery', 'pickup']",https://www.yelp.com/biz/magdalene-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1
11,a-pous-taste-brooklyn-2,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.71326, 'longitude': -73.93616}",(718) 388-3038,1306.9728747182003,wqdFd3DZD_uTXRW784mFkg,https://s3-media2.fl.yelpcdn.com/bphoto/SOkoao4jcsADeJKgw6xFRg/o.jpg,False,"{'address1': '963 Grand St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['963 Grand St', 'Brooklyn, NY 11211']}",A-Pou's Taste,+17183883038,$,4.5,55,"['delivery', 'pickup']",https://www.yelp.com/biz/a-pous-taste-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1
12,kokomo-brooklyn-2,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","{'latitude': 40.721985, 'longitude': -73.959706}",(347) 799-1312,2609.118638546521,0czWwSVOVjVQaefbL4Zq-g,https://s3-media4.fl.yelpcdn.com/bphoto/yQhs4N4RCM21Lt-F_NrnIQ/o.jpg,False,"{'address1': '65 Kent Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['65 Kent Ave', 'Brooklyn, NY 11249']}",Kokomo,+13477991312,,4.5,152,[],https://www.yelp.com/biz/kokomo-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1
